Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,ROI,Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,,ROI_1_Blank_Area,ROI_1_HScore_1,ROI_1_HScore_2,ROI_1_Heme_Area,ROI_1_MAP2_Area,ROI_1_Total_Area,Per_Heme,Per_Map,Ratio,Tissue_Gaps,Gap_Adj
Image_7614,7614,1958,S/H,F,β01,1,A4-5,A4,2024-03-11-Map2,ROI_1,Image_7614,7614,1958,S/H,F,β01,1,A4-5,2024-03-11-Map2,,TRUE,1761003.552,89.44742229,151.9864383,7514832.222,30548167.91,39824003.68,19.74314215,80.25685785,0.245999441,4.42196512,4.626549526
Image_7354(1_2_3),7354,1960,S/H,F,α01,1,A1-3,A2,2024-03-11-Map2,ROI_2,Image_7354(1_2_3),7354,1960,S/H,F,α01,1,A1-3,2024-03-11-Map2,,TRUE,1043892.169,89.04725087,148.8584808,4492886.205,17779263.45,23316041.83,20.1726653,79.8273347,0.252703731,4.477141432,4.68698435
4253_-_,4253,1912,S/H,F,α03,3,A1-3,A1,2024-03-11-Map2,ROI_1,4253_-_,4253,1912,S/H,F,α03,3,A1-3,2024-03-11-Map2,,TRUE,1740432.951,91.92833142,136.8927771,1977389.507,7582326.826,11300149.28,20.68460442,79.31539558,0.260789274,15.40185805,18.20590581
Image_7243,7243,1958,S/H,F,α01,1,A1-3,A1,2024-03-11-Map2,ROI_1,Image_7243,7243,1958,S/H,F,α01,1,A1-3,2024-03-11-Map2,,TRUE,964991.6381,97.62179518,155.3616763,2274118.412,8342399.122,11581509.17,21.42056851,78.57943149,0.272597652,8.332175228,9.089530867
Image_4380,4380,1964,S/H,M,α01,1,A1-3,A3,2024-03-11-Map2,ROI_3,Image_4380,4380,1964,S/H,M,α01,1,A1-3,2024-03-11-Map2,,TRUE,3618591.814,103.4318071,142.5495434,6104824.772,22039560.89,31762977.48,21.69109265,78.30890735,0.276993938,11.39248301,12.85724214
Image_5261,5261,1957,S/H,M,β02,2,A4-5,A4,2024-03-11-Map2,ROI_1,Image_5261,5261,1957,S/H,M,β02,2,A4-5,2024-03-11-Map2,,TRUE,3648134.81,103.5179531,142.7630755,7391139.328,25857767.7,36897041.84,22.22972118,77.77027882,0.28583826,9.887336838,10.97219469
1821.05P_-_,4052,1821,S/H,M,05P,5,A5,A5,2024-04-01-Map2,ROI_2,1821.05P_-_,4052,1821,S/H,M,05P,5,A5,2024-04-01-Map2,,TRUE,7395753.979,121.4948942,129.887107,6850099.582,23375775.38,37621628.94,22.66303156,77.33696844,0.293042668,19.65825029,24.46828748
Image_5861,5861,1963,S/H,F,β01,1,A4-5,A5,2024-03-11-Map2,ROI_3,Image_5861,5861,1963,S/H,F,β01,1,A4-5,2024-03-11-Map2,,TRUE,1965172.331,104.5413963,153.4419248,6302041.688,21148029,29415243.02,22.9581984,77.0418016,0.297996645,6.680795837,7.159079309
Image_5252,5252,1961,S/H,M,β08,8,A4-5,A5,2024-03-11-Map2,ROI_2,Image_5252,5252,1961,S/H,M,β08,8,A4-5,2024-03-11-Map2,,TRUE,2016740.076,104.3255589,155.4871244,6741731.759,22563841.36,31322313.19,23.00494767,76.99505233,0.298784753,6.438669021,6.881762961
1949_40x-1-3,1949,1798,L/H,M,α02,2,A1-3,A1,2024-04-01-Map2,ROI_1,1949_40x-1-3,1949,1798,L/H,M,α02,2,A1-3,2024-04-01-Map2,,TRUE,163748.8349,116.143111,198.1364674,2982376.384,5084126.38,8230251.599,36.97235929,63.02764071,0.586605478,1.989596951,2.029985481
2162_40x-1,2162,1798,L/H,M,β02,2,A4-5,A4,2024-04-01-Map2,ROI_1,2162_40x-1,2162,1798,L/H,M,β02,2,A4-5,2024-04-01-Map2,,TRUE,965155.1292,108.0523138,158.9124967,7802694.394,24980199.9,33748049.42,23.80111507,76.19888493,0.312355162,2.859884188,2.94408151
2162_40x-2,2162,1798,L/H,M,β02,2,A4-5,A4,2024-04-01-Map2,ROI_1,2162_40x-2,2162,1798,L/H,M,β02,2,A4-5,2024-04-01-Map2,,TRUE,784335.9297,79.60240369,161.0904385,3344980.887,28656066.79,32785383.61,10.45272305,89.54727695,0.116728542,2.392334154,2.450969536
