Sample Number,Read Concentration (mg/ml),Read Concentration (ug/ml),Grp,Time,Sex,IL-18,IL-18-R2,IL-1b,IL-6,IL-10,TNF-a
9042,8.371383302,8371.383302,S/H,96 HR,M,24276.44702,,,,,
9043,16.25868044,16258.68044,L/H,24 HR,F,13206.95743,,,,,
9044,16.97941081,16979.41081,L/H,24 HR,M,11761.61919,,,,,
9045,13.83013245,13830.13245,L/H,96 HR,F,14549.36357,,,,,
9046,12.39180532,12391.80532,L/H,96 HR,M,14952.51429,,,,,
9047,14.02441629,14024.41629,L/H,96 HR,F,16916.80187,,,,,
9048,11.46112306,11461.12306,L/H,48 HR,M,16372.11951,,,,,
9049,12.82110993,12821.10993,L/H,48 HR,F,16599.42789,,,,,
9050,16.34955514,16349.55514,L/H,48 HR,F,19194.17458,,,,,
9051,11.68987661,11689.87661,L/H,48 HR,M,16861.04698,,,,,
9052,11.49872639,11498.72639,L/H,24 HR,F,15668.75016,,,,,
9053,13.29428509,13294.28509,L/H,24 HR,F,14416.40961,,,,,
9054,15.32799818,15327.99818,L/H,48 HR,M,17504.37261,,,,,
9055,13.46036644,13460.36644,L/H,48 HR,F,12516.45459,,,,,
9056,12.27272813,12272.72813,L/H,96 HR,M,15990.41297,,,,,
9057,13.00285933,13002.85933,L/H,96 HR,F,13953.21516,,,,,
9058,11.88102684,11881.02684,RV (P7),48 HR,M,19078.37597,,,,,
9059,12.52341695,12523.41695,RV (P7),48 HR,M,16071.90088,,,,,
9060,11.19476619,11194.76619,RV (P7),48 HR,F,17041.17816,,,,,
9061,14.9080944,14908.0944,L/H,96 HR,M,14154.79052,,,,,
9062,12.54722405,12547.22405,Naïve,96 HR,M,20811.06632,,,,,
9063,11.9125922,11912.5922,RV (P10),96 HR,F,19725.99043,,,,,
9064,12.09435569,12094.35569,S/H,24 HR,F,15836.01482,,,,,
9065,12.97236577,12972.36577,S/H,24 HR,F,12936.76067,,,,,
9066,12.6427269,12642.7269,S/H,48 HR,F,13811.68352,,,,,
9067,13.65320868,13653.20868,S/H,48 HR,F,15179.82268,,,,,
9068,11.57063038,11570.63038,Naïve,24 HR,M,16449.31858,,,,,
9069,15.90830825,15908.30825,Naïve,96 HR,F,16535.09533,,,,,
9070,13.58235172,13582.35172,Naïve,24 HR,M,17581.57168,,,,,
9071,12.28844213,12288.44213,Naïve,24 HR,M,20103.40813,,,,,
9072,11.68153692,11681.53692,Naïve,24 HR,F,19507.25972,,,,,
9073,11.27796036,11277.96036,Naïve,24 HR,F,18966.8662,,,,,
9074,12.4270753,12427.0753,Naïve,24 HR,F,16131.94461,,,,,
9075,14.833131,14833.131,Naïve,48 HR,F,16204.85484,,,,,
9076,18.69021387,18690.21387,Naïve,96 HR,M,12688.00809,,,,,
9077,17.87381854,17873.81854,RV (P7),24 HR,F,12044.68247,,,,,
