R0001,GFAP,0,25.07,,,Variant,Number,Sample,Time,,Class,Group,0,Average,0.1,0.2,0.3,0.4,0.5,0.6,Average,DeltaCq,DeltaDeltaCt,DeltaDeltaCt-SH,FoldChange,FoldChange-SH,,DeltaCqExp,DeltaCqExp,,FoldChange-N,FoldChange-SH,,,,,,,,,
R0020,GFAP,0,27.21,,,0,16,R0016,96,S/H,S/H 96 HR,Treatment 3,28.47,28.47,35.54,35.06,35.12,,,,35.24,6.77,6.77,6.77,0.009162773,0.009162773,,0.009162773,0.009162773,,0.008086361,0.398471838,,,,,,,,,
R0020,IL-1B,0.1,34.84,,,0.1,16,R0016,96,S/H,S/H 96 HR,Treatment 3,28.47,28.47,35.54,35.54,35.54,,,,35.54,7.07,7.07,7.07,0.007442484,0.007442484,,0.007442484,0.007442484,,0.006568166,0.323659705,,,,,,,,,
R0020,IL-1B,0.2,34.52,,,0.2,16,R0016,96,S/H,S/H 96 HR,Treatment 3,28.47,28.47,35.06,35.06,35.06,,,,35.06,6.59,6.59,6.59,0.010380358,0.010380358,,0.010380358,0.010380358,,0.009160908,0.451422324,,,,,,,,,
R0020,IL-1B,0.3,33.7,,,0.3,16,R0016,96,S/H,S/H 96 HR,Treatment 3,28.47,28.47,35.12,35.12,35.12,,,,35.12,6.65,6.65,6.65,0.009957505,0.009957505,,0.009957505,0.009957505,,0.00878773,0.433033238,,,,,,,,,
R0021,GFAP,0,31.19,,,0.4,16,R0016,96,S/H,S/H 96 HR,Treatment 3,28.47,28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0021,IL-1B,0.1,35.3,,,0,17,R0017,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.26,26.26,34.39,34.07,34.28,,,,34.24666667,7.986666667,7.986666667,7.986666667,0.003942519,0.003942519,,0.003942519,0.003942519,,0.004395297,0.273884757,,,,,,,,,
R0021,IL-1B,0.2,35.25,,,0.1,17,R0017,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.26,26.26,34.39,34.39,34.39,,,,34.39,8.13,8.13,8.13,0.003569654,0.003569654,,0.003569654,0.003569654,,0.00397961,0.24798204,,,,,,,,,
R0021,IL-1B,0.3,35.4,,,0.2,17,R0017,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.26,26.26,34.07,34.07,34.07,,,,34.07,7.81,7.81,7.81,0.004456108,0.004456108,,0.004456108,0.004456108,,0.004967869,0.309563557,,,,,,,,,
R0022,GFAP,0,28.87,,,0.3,17,R0017,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.26,26.26,34.28,34.28,34.28,,,,34.28,8.02,8.02,8.02,0.003852472,0.003852472,,0.003852472,0.003852472,,0.004294908,0.26762922,,,,,,,,,
R0022,IL-1B,0.1,34.64,,,0.4,17,R0017,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.26,26.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
